,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,80,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,15
2,0,101,4,1,2,7,1,0,0,0,0,1,2,1,5,0,0,0,0,1
3,0,4,91,4,0,4,1,0,0,0,0,1,0,0,2,0,0,0,0,0
4,0,4,23,101,3,3,5,1,0,0,0,0,9,1,0,2,0,0,0,0
5,0,1,1,10,108,2,4,0,0,0,1,0,7,1,1,0,0,1,0,0
6,0,3,1,0,0,105,1,1,0,0,0,1,1,0,0,0,0,1,0,0
7,0,1,0,2,3,0,98,1,1,1,0,0,2,0,0,0,0,0,0,0
8,0,1,0,1,0,1,4,120,4,0,0,0,3,0,0,0,0,0,1,1
9,0,0,0,0,1,0,0,4,149,1,2,0,1,1,0,0,0,0,0,1
10,0,0,0,0,0,0,1,0,0,109,3,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,1,0,0,3,110,0,0,0,0,1,0,1,1,1
12,0,1,0,0,0,0,0,0,0,0,1,107,0,0,1,0,2,0,0,0
13,0,0,1,3,2,0,5,0,0,1,0,0,115,3,1,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1,1,0,0,0,0
15,1,0,1,0,0,0,3,2,0,0,0,0,1,1,109,0,0,0,1,1
16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,4,0,11
17,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,108,2,6,3
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0
19,0,0,0,0,0,0,2,2,0,0,1,2,0,1,3,1,2,1,87,0
20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,60
