,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,74,0,0,1,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,25
2,0,92,4,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1
3,0,5,100,3,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,6,15,107,8,3,5,3,0,0,0,0,11,0,0,0,0,0,0,1
5,0,2,0,3,91,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
6,0,6,0,0,0,105,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,0,1,1,0,4,0,88,0,1,0,0,0,2,2,0,0,0,0,0,0
8,0,0,0,0,1,0,3,110,1,0,0,0,0,0,0,0,1,0,0,0
9,0,1,0,0,0,0,2,0,150,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,2,1,0,3,116,0,1,1,1,0,0,0,0,0
12,1,3,0,2,5,3,1,1,0,0,0,110,22,1,3,0,3,2,1,1
13,0,0,1,2,3,0,7,0,0,1,0,0,93,1,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0
15,0,0,1,0,0,0,3,1,0,0,0,0,0,2,113,0,1,0,1,2
16,15,0,0,1,2,1,1,2,0,1,1,0,0,5,1,133,1,3,1,47
17,1,0,0,0,0,0,2,8,0,0,0,0,1,1,0,0,106,0,12,9
18,1,0,0,3,0,1,2,2,1,1,0,1,1,2,1,0,0,111,5,2
19,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,77,1
20,2,0,0,0,1,1,2,2,0,0,1,0,4,1,2,0,0,1,0,4
